id baseMean baseMeanA baseMeanB foldChange log2FoldChange pval padj
CARHR000010 691.888664995232 751.904441860045 631.872888130419 0.840363286812491 -0.250914958924126 0.0969432869396738 1
CARHR000020 0 0 0 NA NA NA NA
CARHR000030 0.170462700545106 0.340925401090211 0 0 -Inf 1 1
CARHR000040 0 0 0 NA NA NA NA
CARHR000050 0.170462700545106 0.340925401090211 0 0 -Inf 1 1
CARHR000060 0 0 0 NA NA NA NA
CARHR000070 9.00159145213385 10.5783399688014 7.42484293546629 0.701891124445264 -0.510680834164845 0.387316316671633 1
CARHR000080 0.167422545977245 0 0.334845091954489 Inf Inf 0.99936422636221 1
CARHR000090 165.885532121423 199.22139834825 132.549665894597 0.665338497739549 -0.587839581697807 0.000972928814476493 0.0725704349764533
CARHR000100 0 0 0 NA NA NA NA
CARHR000110 15.4921630501127 13.6203895142056 17.3639365860197 1.27484875288697 0.350326096964009 0.468916491715768 1
CARHR000120 28.0992090403317 27.4373387136424 28.761079367021 1.04824595662117 0.0679772653153867 0.873430971476486 1
CARHR000130 0.489790456625961 0.979580913251922 0 0 -Inf 0.422886533903187 1
CARHR000140 78.6351074022722 82.9344092831292 74.3358055214151 0.896320431579136 -0.15791351170311 0.506359600018419 1
CARHR000150 214.482449546824 240.148708849035 188.816190244613 0.78624695152248 -0.34694557657674 0.0470719650322342 1
CARHR000160 27.2317637908178 27.0798240147669 27.3837035668688 1.01122162211749 0.0160992169150143 1 1
CARHR000170 338.593124965302 338.443601742171 338.742648188432 1.00088359314439 0.00127419259651158 1 1
CARHR000180 84.2252164073581 86.0529961780356 82.3974366366806 0.957519671554586 -0.0626259684108943 0.803821193817455 1
CARHR000190 489.579957538964 494.905153553106 484.254761524822 0.978479933070365 -0.0313858309098157 0.847075865718233 1
CARHR000200 181.181505956399 196.707857903989 165.655154008809 0.84213795917428 -0.247871499703912 0.169485685931342 1
CARHR000210 287.322276744837 298.968315921561 275.676237568113 0.922091816714255 -0.117017681626327 0.492345285958501 1
CARHR000220 242.866119880138 265.321301193138 220.410938567137 0.830732163516305 -0.26754468245344 0.130612810350196 1
CARHR000230 83.4842672149747 81.8083262742102 85.1602081557393 1.04097238061434 0.0579317911355757 0.770365252555701 1
CARHR000240 96.9381078338852 97.2144798308109 96.6617358369596 0.994314180410024 -0.00822631261585161 0.988747773163219 1
CARHR000250 853.607027270346 863.214849441094 843.999205099598 0.977739441862084 -0.0324780428148024 0.832842962612277 1
CARHR000260 0.160854665879122 0.321709331758244 0 0 -Inf 1 1
CARHR000270 3.27020129801799 3.28919444355553 3.25120815248046 0.988451187144164 -0.0167583720323729 1 1
CARHR000280 28.9584964076925 27.824086176298 30.092906639087 1.08154159847024 0.113089155593534 0.758254081971891 1
CARHR000290 20.2961913724481 18.5109041575638 22.0814785873324 1.19289033098417 0.254461414183159 0.535091024815416 1
CARHR000300 0.513478846845791 0 1.02695769369158 Inf Inf 0.41559450100027 1
CARHR000310 0 0 0 NA NA NA NA
CARHR000320 14.4403426129501 13.5362987778891 15.3443864480111 1.13357326842367 0.180877642578767 0.762450476428691 1
CARHR000330 87.55238144019 88.3433936390072 86.7613692413728 0.982092329347241 -0.0260694320278502 0.947306945472654 1
CARHR000340 11.5426276065129 11.5699104923967 11.515344720629 0.995283820751809 -0.00682010349976426 1 1
CARHR000350 65.6480910302133 66.9971797796314 64.2990022807951 0.959726998842171 -0.0593040155421258 0.814341071816214 1
CARHR000360 121.725269569158 127.492344557741 115.958194580575 0.909530646587628 -0.136805844657557 0.506722776254461 1
CARHR000370 0 0 0 NA NA NA NA
CARHR000380 176.430529172297 180.002387018273 172.858671326322 0.96031321689514 -0.0584230611774782 0.761043806836994 1
CARHR000390 560.472111228469 569.86099042782 551.083232029119 0.967048528125073 -0.0483398064999148 0.760389037304868 1
CARHR000400 183.851643801207 165.111875707115 202.591411895299 1.22699479384915 0.295129127644712 0.107096598001762 1
CARHR000410 99.2877342020327 94.4440447959834 104.131423608082 1.10257268028943 0.1408737596713 0.529173629486517 1
CARHR000420 15.206005785462 18.1821318307298 12.2298797401942 0.672631782348229 -0.572111146006684 0.219311664460438 1
CARHR000430 71.5755609555361 73.9598528217643 69.191269089308 0.935524699542763 -0.0961523511621343 0.716025525627521 1
CARHR000440 105.84182023696 110.931402851797 100.752237622122 0.908239101210374 -0.138855946356799 0.517126360744237 1
CARHR000450 131.714312838424 132.743364830965 130.685260845883 0.984495616879212 -0.0225433118389503 0.948359175993531 1
CARHR000460 124.034100204188 123.682090861737 124.38610954664 1.00569216351372 0.00818877220545934 0.976493503836391 1
CARHR000470 15.3770310378188 16.4919577432559 14.2621043323817 0.864791467114565 -0.209575806796568 0.670017532259867 1
CARHR000480 106.301506760885 101.55075662615 111.05225689562 1.09356405195926 0.129037724032731 0.534178748446625 1
CARHR000490 61.603251355526 73.2397705764503 49.9667321346017 0.682234962525513 -0.551659404184513 0.0258259814054595 0.762272292264588
CARHR000500 87.5328068366787 86.3002673084822 88.7653463648752 1.02856397938585 0.0406315360815071 0.893386500485174 1
CARHR000510 2.9580092769003 2.96748511179729 2.94853344200331 0.993613558592548 -0.00924323455283316 1 1
CARHR000520 101.002126528347 104.220511626875 97.7837414298183 0.938238931122296 -0.0919727298754767 0.6731393527171 1
CARHR000530 695.068221421271 715.683488667732 674.45295417481 0.942389987828734 -0.0856038831665319 0.561172852337423 1
CARHR000540 124.051400903766 128.786408343763 119.316393463769 0.926467280190656 -0.110188069029023 0.591013437431466 1
CARHR000550 99.9746173776253 97.9107463193509 102.0384884359 1.04215821318617 0.0595743141349465 0.794893881828716 1
CARHR000560 22.3763125199666 21.5986123006205 23.1540127393127 1.07201390612709 0.100323620506935 0.811208206362326 1
CARHR000570 50.7419997082786 45.5833754810467 55.9006239355104 1.22633796522492 0.294356624674595 0.291090204823515 1
CARHR000580 40.6525917534195 39.5787302074953 41.7264532993437 1.0542645779839 0.0762369708128457 0.831967353092198 1
CARHR000590 17.0117235001497 17.1664186225349 16.8570283777645 0.981977006877587 -0.0262388508484542 1 1
CARHR000600 67.5667747365219 61.2397538674665 73.8937956055774 1.20663116585178 0.27098475105997 0.290039963707122 1
CARHR000610 8.44781417625381 10.2735468626542 6.62208148985346 0.644575975403947 -0.633577677528538 0.321943152214824 1
CARHR000620 155.033774441083 150.598786251433 159.468762630732 1.05889806020408 0.082563708200021 0.671673610033009 1
CARHR000630 256.515896505963 272.304635597142 240.727157414783 0.884036207782094 -0.17782263509202 0.290330799563579 1
CARHR000640 2.16332630188718 1.34448553502888 2.98216706874548 2.21807300342686 1.14930684969649 0.423541202252864 1
CARHR000650 23.8341946145401 23.8768566873359 23.7915325417443 0.996426491698262 -0.00516471628970581 1 1
CARHR000660 20.2875633753528 19.063169089688 21.5119576610176 1.12845653101058 0.174350845908293 0.708452410761743 1
CARHR000670 59.5919345322187 62.4856957482017 56.6981733162357 0.907378442975366 -0.140223709589232 0.63435747990059 1
CARHR000680 1.30111159085979 1.97591458820199 0.626308593517581 0.31697149120575 -1.6575750064017 0.45099110865394 1
CARHR000690 66.4743304927807 68.1111097142943 64.8375512712672 0.95193796640873 -0.0710605323525099 0.816293892853709 1
CARHR000700 145.28089349217 156.972809601908 133.588977382432 0.85103259425133 -0.232713707201446 0.233074633612175 1
CARHR000710 43.8005848414484 39.8955129239859 47.7056567589108 1.195764968602 0.257933851113233 0.383589542594043 1
CARHR000720 596.947238026427 606.649088747678 587.245387305177 0.968014949989363 -0.0468987662831897 0.74085071994991 1
CARHR000730 543.504098731035 572.91718865755 514.09100880452 0.897321670535194 -0.156302841854334 0.308865170100915 1
CARHR000740 635.419461524359 654.563303975873 616.275619072844 0.941506520957611 -0.0869570077795334 0.575479564141882 1
CARHR000750 19.9993590779373 17.5360863956666 22.462631760208 1.28093756231486 0.357200155044071 0.381365137022405 1
CARHR000760 0 0 0 NA NA NA NA
CARHR000770 134.901035459057 162.917595824421 106.884475093694 0.656064647608017 -0.608090112074252 0.00193321499618964 0.123544520850244
CARHR000780 160.058783712178 151.683483422316 168.434084002039 1.11043127571831 0.151120107654411 0.440704041246314 1
CARHR000790 0.334930595918525 0.66986119183705 0 0 -Inf 0.652265515955831 1
CARHR000800 23.2054012653574 26.3040292457347 20.1067732849801 0.764398986069424 -0.38760223022137 0.307336992238736 1
CARHR000810 714.842357000802 693.879945975502 735.804768026102 1.06042085852713 0.0846369534748177 0.583944810777846 1
CARHR000820 249.266501228243 259.030625722651 239.502376733835 0.924610269792095 -0.113082707983156 0.493476699757656 1
CARHR000830 79.7648543114582 85.5465160758591 73.9831925470572 0.864829988885252 -0.209511543986516 0.354205845887191 1
CARHR000840 0.830630353752137 0.991570523595295 0.669690183908979 0.675383311598228 -0.566221563412762 1 1
CARHR000850 38.320604984079 32.2366996256083 44.4045103425496 1.3774521231471 0.462002175131377 0.143408124006004 1
CARHR000860 171.663295962349 167.851305757798 175.4752861669 1.04542103723699 0.0640840963715163 0.728028184153387 1
CARHR000870 29.5864851912538 31.0866746276201 28.0862957548875 0.90348344077733 -0.146429935554383 0.657952392551798 1
CARHR000880 401.396651277039 443.417511791167 359.37579076291 0.81046819578962 -0.303172521947585 0.0529267466060237 1
CARHR000890 5.21794465199755 7.54121703866484 2.89467226533027 0.383846831418442 -1.38139735590899 0.0956885731996801 1
CARHR000900 109.278334002931 114.407504445579 104.149163560283 0.910335069932622 -0.135530434460367 0.540994916281847 1
CARHR000910 11.416154422238 12.9239223301351 9.90838651434092 0.766670230695925 -0.383321932861873 0.501968318559368 1
CARHR000920 31.4761408760716 35.3027283916993 27.6495533604439 0.783212930560492 -0.352523511378971 0.295349103615278 1
CARHR000930 0.334845091954489 0 0.669690183908979 Inf Inf 0.650994990285962 1
CARHR000940 0 0 0 NA NA NA NA
CARHR000950 0 0 0 NA NA NA NA
CARHR000960 20.5941483439597 21.0269306036338 20.1613660842856 0.958835431777253 -0.0606448731084366 0.907179685456187 1
CARHR000970 10.5177769676478 9.94691091562829 11.0886430196672 1.11478258061456 0.156762364445877 0.856343473293743 1
CARHR000980 22.7903977600712 24.9142492724966 20.6665462476458 0.829507083340458 -0.269673794168527 0.529395446981501 1
CARHR000990 20.6066016468134 19.084685002741 22.1285182908859 1.15949088432467 0.213491477861203 0.622322469155154 1
CARHR001000 66.3269927099656 70.2139461693882 62.440039250543 0.889282580698555 -0.169286168528345 0.493497028694866 1
CARHR001010 221.686926571643 229.2058284179 214.168024725386 0.934391704624995 -0.097900628620529 0.537097315967673 1
CARHR001020 116.438416500944 128.418876950439 104.45795605145 0.813415897506746 -0.297934907591104 0.142634411293982 1
CARHR001030 0 0 0 NA NA NA NA
CARHR001040 1.13387862820928 1.60854665879122 0.659210597627336 0.409817516964484 -1.28694644363316 0.596874610448845 1
CARHR001050 4.11556487709949 3.63980961126816 4.59132014293083 1.26141766556058 0.33504604272805 0.774050928650311 1
CARHR001060 3.66463740023372 4.60493760654289 2.72433719392456 0.591612183855369 -0.757276330809544 0.445265722808411 1
CARHR001070 28.6479353964815 30.7051807080578 26.5906900849052 0.866000116974629 -0.207560875063878 0.547062934920287 1
CARHR001080 75.984658705742 86.5688018873912 65.4005155240927 0.75547442147999 -0.404545184803241 0.0832492806332852 1
CARHR001090 116.607687078757 108.683546825193 124.53182733232 1.14582042057035 0.196380954519208 0.331521871705177 1
CARHR001100 13.6659912331684 15.2120199473858 12.1199625189509 0.796735907582985 -0.327826498599885 0.544274575427241 1
CARHR001110 93.8202842330544 104.205694549455 83.4348739166539 0.80067480263333 -0.320711689820254 0.134567916156401 1
CARHR001120 2111.87729739816 2210.95914939509 2012.79544540123 0.910372064518662 -0.135471806793329 0.335114205217094 1
