"BINCODE"	"p.value"	"p.adjusted"	"NAME"	"DESCRIPTION"
"1"	2.07274368943962e-09	1.5900720935137e-05	"Photosynthesis"	""
"1.1"	9.7139926898298e-19	4.47116026107514e-14	"Photosynthesis.photophosphorylation"	""
"1.1.1"	5.40119943506441e-06	0.0191235856652319	"Photosynthesis.photophosphorylation.photosystem II"	""
"1.1.1.2"	1.35074667926765e-08	8.8817456690135e-05	"Photosynthesis.photophosphorylation.photosystem II.PS-II complex"	""
"1.1.1.2.1"	3.44928535021125e-10	3.17527675373275e-06	"Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex"	""
"1.1.4"	2.17044322613997e-06	0.00908193123756499	"Photosynthesis.photophosphorylation.photosystem I"	""
"1.1.4.2"	1.52688181296638e-05	0.0468529162242505	"Photosynthesis.photophosphorylation.photosystem I.PS-I complex"	""
"1.1.8"	1.96296735340597e-07	0.00100390595808886	"Photosynthesis.photophosphorylation.chlororespiration"	""
"1.1.8.1"	1.74879410148607e-07	0.00100390595808886	"Photosynthesis.photophosphorylation.chlororespiration.NADH dehydrogenase-like (NDH) complex"	""
"1.1.8.1.1"	1.28121759178815e-06	0.00589719321921163	"Photosynthesis.photophosphorylation.chlororespiration.NADH dehydrogenase-like (NDH) complex.membrane subcomplex M"	""
"17"	9.17068553148149e-06	0.0301506188211701	"Protein biosynthesis"	""
"17.6"	2.43737292371907e-11	3.7395831305504e-07	"Protein biosynthesis.organelle translation machineries"	""
"17.6.2"	5.62878664505783e-15	1.29541003215919e-10	"Protein biosynthesis.organelle translation machineries.plastidial ribosome"	""
"17.6.2.1"	4.88891557736057e-06	0.018752266058538	"Protein biosynthesis.organelle translation machineries.plastidial ribosome.large subunit proteome"	""
"17.6.2.2"	1.34089641339704e-10	1.54297078174559e-06	"Protein biosynthesis.organelle translation machineries.plastidial ribosome.small subunit proteome"	""
