"IDENTIFIER.san"	"BINCODE"	"NAME"	"DEG.set"	"overrep.mapManBin"
"grmzm2g084195"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g479684"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g421279"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g181153"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"ac212565.3"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g063896"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g143780"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g073275"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"ac233865.1"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"ac196961.2"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g149178"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mmbs.v.sgstc"	"12.1.5"
"grmzm2g479684"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g421279"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g349651"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g181153"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"ac212565.3"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g063896"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g143780"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g072855"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g073275"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"ac233865.1"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g149178"	"12.1.5"	"Chromatin assembly and remodeling.histones.H4-type histone"	"mms.v.sgltc"	"12.1.5"
"grmzm2g017081"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mmbs.v.sgstc"	"13.1.1.1"
"grmzm2g180728"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mmbs.v.sgstc"	"13.1.1.1"
"grmzm2g178215"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mmbs.v.sgstc"	"13.1.1.1"
"grmzm2g060690"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mmbs.v.sgstc"	"13.1.1.1"
"grmzm2g026346"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mmbs.v.sgstc"	"13.1.1.1"
"grmzm5g879536"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mmbs.v.sgstc"	"13.1.1.1"
"grmzm2g017081"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
"grmzm2g180728"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
"grmzm2g178215"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
"grmzm2g060690"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
"grmzm2g026346"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
