"BINCODE"	"NAME"	"IDENTIFIER"	"DESCRIPTION"	"TYPE"	"IDENTIFIER.san"
"20.1.2"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation"	""	""	NA	""
"20.1.2.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC)"	""	""	NA	""
"20.1.2.1.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component"	"grmzm2g073888_p01"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component (original description: pep:known chromosome:AGPv3:8:78798128:78804134:1 gene:GRMZM2G073888 transcript:GRMZM2G073888_T01 description:\"cdna|protein\")"	"TRUE"	"grmzm2g073888"
"20.1.2.1.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component"	"grmzm2g073888_p02"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component (original description: pep:known chromosome:AGPv3:8:78798124:78802844:1 gene:GRMZM2G073888 transcript:GRMZM2G073888_T02 description:\"cdna|est|protein\")"	"TRUE"	"grmzm2g073888"
"20.1.2.1.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component"	"grmzm2g073888_p03"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component (original description: pep:known chromosome:AGPv3:8:78798124:78802838:1 gene:GRMZM2G073888 transcript:GRMZM2G073888_T03 description:\"cdna|est\")"	"TRUE"	"grmzm2g073888"
"20.1.2.1.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component"	"grmzm2g073888_p05"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component (original description: pep:known chromosome:AGPv3:8:78798162:78802680:1 gene:GRMZM2G073888 transcript:GRMZM2G073888_T05 description:\"omrna|protein\")"	"TRUE"	"grmzm2g073888"
"20.1.2.1.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component"	"grmzm2g073888_p06"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component (original description: pep:known chromosome:AGPv3:8:78798128:78802189:1 gene:GRMZM2G073888 transcript:GRMZM2G073888_T06 description:\"cdna|protein\")"	"TRUE"	"grmzm2g073888"
"20.1.2.1.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component"	"grmzm2g085970_p01"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component (original description: pep:known chromosome:AGPv3:6:126762125:126766341:1 gene:GRMZM2G085970 transcript:GRMZM2G085970_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g085970"
"20.1.2.1.1"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component"	"grmzm2g085970_p03"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).TUG1 gamma tubulin component (original description: pep:known chromosome:AGPv3:6:126762138:126764451:1 gene:GRMZM2G085970 transcript:GRMZM2G085970_T03 description:\"est\")"	"TRUE"	"grmzm2g085970"
"20.1.2.1.2"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).GCP2 component"	"grmzm2g071518_p01"	"Cytoskeleton.microtubular network.microtubule Tubulin heterodimer formation.gamma-Tubulin ring complex (gamma-TuRC).GCP2 component (original description: pep:known chromosome:AGPv3:10:128711972:128719484:1 gene:GRMZM2G071518 transcript:GRMZM2G071518_T01 description:\"cdna|est|protein\")"	"TRUE"	"grmzm2g071518"
