"BINCODE"	"NAME"	"IDENTIFIER"	"DESCRIPTION"	"TYPE"	"IDENTIFIER.san"
"15.6.7.3"	"RNA biosynthesis.transcription factor families.AP2/ERF superfamily.AP2-type transcription factor"	"grmzm2g521481_p01"	"RNA biosynthesis.transcription factor families.AP2/ERF superfamily.AP2-type transcription factor (original description: pep:novel chromosome:AGPv3:4:176373677:176376135:1 gene:GRMZM2G521481 transcript:GRMZM2G521481_T01 description:\"abinitio|est|protein\")"	"TRUE"	"grmzm2g521481"
"17.1.1.1.24"	"Protein biosynthesis.cytosolic ribosome.large subunit (LSU).LSU proteome.RPL23a component"	"grmzm2g060054_p03"	"Protein biosynthesis.cytosolic ribosome.large subunit (LSU).LSU proteome.RPL23a component (original description: pep:novel chromosome:AGPv3:10:83681541:83697115:1 gene:GRMZM2G060054 transcript:GRMZM2G060054_T03 description:\"est\")"	"TRUE"	"grmzm2g060054"
"18.9.1.46"	"Protein modification.phosphorylation.TKL kinase superfamily.DLSV kinase"	"grmzm2g444543_p01"	"Protein modification.phosphorylation.TKL kinase superfamily.DLSV kinase (original description: pep:novel chromosome:AGPv3:2:233184126:233187916:-1 gene:GRMZM2G444543 transcript:GRMZM2G444543_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g444543"
"24.2.1.1.2"	"Solute transport.primary active transport.V-type ATPase family.membrane V0 subcomplex.subunit c"	"grmzm2g060054_p01"	"Solute transport.primary active transport.V-type ATPase family.membrane V0 subcomplex.subunit c (original description: pep:novel chromosome:AGPv3:10:83694753:83697115:1 gene:GRMZM2G060054 transcript:GRMZM2G060054_T01 description:\"est\")"	"TRUE"	"grmzm2g060054"
"26.8.1"	"Environmental stimuli response.pathogen effector.NLR effector receptor"	"grmzm2g319375_p01"	"Environmental stimuli response.pathogen effector.NLR effector receptor (original description: pep:novel chromosome:AGPv3:2:206507648:206508569:-1 gene:GRMZM2G319375 transcript:GRMZM2G319375_T01 description:\"protein\")"	"TRUE"	"grmzm2g319375"
"26.8.1"	"Environmental stimuli response.pathogen effector.NLR effector receptor"	"grmzm2g402165_p01"	"Environmental stimuli response.pathogen effector.NLR effector receptor (original description: pep:novel chromosome:AGPv3:2:232935649:232936614:1 gene:GRMZM2G402165 transcript:GRMZM2G402165_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g402165"
"26.8.1"	"Environmental stimuli response.pathogen effector.NLR effector receptor"	"grmzm2g394261_p01"	"Environmental stimuli response.pathogen effector.NLR effector receptor (original description: pep:novel chromosome:AGPv3:7:158297463:158301857:-1 gene:GRMZM2G394261 transcript:GRMZM2G394261_T01 description:\"abinitio|est\")"	"TRUE"	"grmzm2g394261"
"35.2"	"not assigned.unknown"	"grmzm2g454334_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:5:31441164:31443177:1 gene:GRMZM2G454334 transcript:GRMZM2G454334_T01 description:\"abinitio|protein\")"	"TRUE"	"grmzm2g454334"
"35.2"	"not assigned.unknown"	"grmzm2g012933_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:5:39912904:39914439:1 gene:GRMZM2G012933 transcript:GRMZM2G012933_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g012933"
"35.2"	"not assigned.unknown"	"grmzm2g162098_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:5:55459467:55463724:-1 gene:GRMZM2G162098 transcript:GRMZM2G162098_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g162098"
