peptideName	Pfam
AC148152.3_FGP001	PF13962
AC148152.3_FGP001	PF13637
AC148152.3_FGP005	PF14226
AC148152.3_FGP005	PF03171
AC148152.3_FGP006	PF02797
AC148152.3_FGP008	PF00232
AC148167.6_FGP001	PF06886
AC149475.2_FGP002	PF05514
AC149475.2_FGP003	PF10584
AC149475.2_FGP003	PF00227
AC149475.2_FGP004	PF00133
AC149475.2_FGP005	PF02375
AC149475.2_FGP005	PF02373
AC149475.2_FGP007	PF00583
AC149810.2_FGP003	PF00443
AC149810.2_FGP003	PF04780
AC149810.2_FGP004	PF11947
AC149810.2_FGP008	PF07714
AC149818.2_FGP001	PF00025
AC149818.2_FGP004	PF01111
AC149818.2_FGP006	PF00179
AC149818.2_FGP007	PF05340
AC149818.2_FGP009	PF03195
AC149828.2_FGP002	PF10584
AC149828.2_FGP002	PF00227
AC149828.2_FGP004	PF07911
AC149829.2_FGP003	PF04096
AC149829.2_FGP003	PF12110
AC149829.2_FGP004	PF00010
AC149829.2_FGP006	PF01344
AC150739.3_FGP001	PF03479
AC152495.1_FGP002	PF00931
AC152495.1_FGP003	PF00931
AC152495.1_FGP005	PF06454
AC152495.1_FGP006	PF00176
AC152495.1_FGP010	PF00931
AC152495.1_FGP011	PF14111
AC152495.1_FGP012	PF00583
AC152495.1_FGP012	PF01535
AC152495.1_FGP012	PF13246
AC152495.1_FGP015	PF00931
AC152495.1_FGP017	PF00931
AC155352.2_FGP001	PF10312
AC155352.2_FGP010	PF00234
AC155376.2_FGP004	PF02181
AC155376.2_FGP005	PF00232
AC155377.1_FGP001	PF02736
AC155377.1_FGP001	PF00612
AC155377.1_FGP001	PF01843
AC155377.1_FGP001	PF00063
AC155377.1_FGP002	PF00026
AC155390.2_FGP002	PF12854
AC155390.2_FGP002	PF14432
AC155390.2_FGP002	PF01535
AC155390.2_FGP002	PF13041
AC155434.2_FGP001	PF12146
AC155434.2_FGP003	PF00026
AC155434.2_FGP005	PF00249
AC155434.2_FGP005	PF14379
AC155434.2_FGP006	PF02701
AC155496.2_FGP009	PF10557
AC155496.2_FGP009	PF00888
AC155610.2_FGP007	PF02458
AC155622.2_FGP001	PF06957
AC155622.2_FGP004	PF00400
AC155624.2_FGP006	PF13672
AC155624.2_FGP011	PF11833
AC159612.1_FGP007	PF07983
AC159612.1_FGP007	PF00332
AC165171.2_FGP002	PF03106
AC165178.2_FGP002	PF08646
AC165178.2_FGP004	PF00249
AC166636.1_FGP007	PF00397
AC166636.1_FGP008	PF00025
AC166636.1_FGP009	PF00806
AC177840.3_FGP005	PF02375
AC177893.3_FGP003	PF04827
AC177893.3_FGP005	PF02705
AC177897.2_FGP002	PF13923
AC177897.2_FGP020	PF09778
AC177897.2_FGP021	PF00118
AC177897.2_FGP022	PF00394
AC177897.2_FGP022	PF07731
AC177897.2_FGP022	PF07732
AC177897.2_FGP029	PF10354
AC177899.2_FGP009	PF13812
AC177899.2_FGP009	PF01535
AC177899.2_FGP009	PF13041
AC177899.2_FGP012	PF02902
AC177908.3_FGP002	PF01501
AC177924.2_FGP001	PF00010
AC177933.2_FGP005	PF03094
AC177936.6_FGP008	PF00888
AC177936.6_FGP008	PF10557
AC182413.4_FGP002	PF03018
AC182439.4_FGP004	PF03694
AC182482.3_FGP003	PF16916
AC182482.3_FGP003	PF01545
AC182617.3_FGP001	PF01678
AC183315.4_FGP006	PF00514
AC183590.4_FGP001	PF04107
AC183656.2_FGP005	PF08646
AC183782.3_FGP002	PF03108
AC183932.3_FGP007	PF13632
AC183938.4_FGP011	PF06839
AC183950.2_FGP002	PF13912
AC183950.2_FGP004	PF03168
AC183950.2_FGP005	PF01535
AC183950.2_FGP005	PF13041
AC184112.4_FGP010	PF04525
AC184130.4_FGP005	PF02469
AC184131.5_FGP010	PF03552
AC184164.2_FGP006	PF01612
AC184699.3_FGP005	PF05834
AC184764.3_FGP003	PF03087
AC184794.2_FGP003	PF00854
AC184831.3_FGP005	PF00320
AC184831.3_FGP008	PF00320
AC184834.3_FGP007	PF07714
AC184835.3_FGP003	PF01490
AC184866.3_FGP007	PF00046
AC184871.2_FGP002	PF00493
AC185108.3_FGP011	PF13912
AC185121.3_FGP001	PF14569
AC185122.3_FGP008	PF00665
AC185122.3_FGP009	PF00144
AC185126.3_FGP006	PF13639
AC185130.2_FGP004	PF01435
AC185213.3_FGP003	PF13041
AC185217.3_FGP002	PF00226
AC185226.4_FGP001	PF13374
AC185226.4_FGP001	PF12807
AC185226.4_FGP001	PF13236
AC185226.4_FGP006	PF01112
AC185276.2_FGP006	PF05786
AC185322.3_FGP011	PF13968
AC185322.3_FGP011	PF04578
AC185415.3_FGP005	PF00076
AC185415.3_FGP005	PF00641
AC185422.3_FGP005	PF01657
AC185434.4_FGP004	PF01486
AC185460.3_FGP004	PF13639
AC185468.3_FGP003	PF01873
AC185471.3_FGP005	PF01221
AC185478.4_FGP005	PF11250
AC185500.3_FGP005	PF04424
AC185519.3_FGP002	PF14569
AC185531.2_FGP001	PF13405
AC185593.3_FGP003	PF08137
AC185603.4_FGP007	PF01745
AC185612.3_FGP002	PF02265
AC185642.4_FGP001	PF08555
AC185648.3_FGP007	PF14360
AC185649.2_FGP003	PF08555
AC185655.3_FGP004	PF13912
AC185655.3_FGP005	PF13912
AC185660.3_FGP003	PF08555
AC186147.3_FGP008	PF05637
AC186165.2_FGP002	PF08774
AC186166.3_FGP008	PF00403
AC186223.3_FGP003	PF00733
AC186284.3_FGP007	PF14111
AC186287.7_FGP005	PF12738
AC186287.7_FGP005	PF03031
AC186333.2_FGP006	PF07741
AC186379.3_FGP001	PF13041
AC186519.4_FGP002	PF02519
AC186524.3_FGP005	PF00505
AC186529.4_FGP014	PF00301
AC186577.3_FGP006	PF04043
AC186579.3_FGP007	PF13639
AC186585.4_FGP002	PF01195
AC186603.6_FGP003	PF00067
AC186604.4_FGP003	PF01134
AC186606.4_FGP003	PF00170
AC186743.4_FGP003	PF04570
AC186802.4_FGP002	PF00067
AC186902.4_FGP009	PF04759
AC187050.4_FGP004	PF06102
AC187072.4_FGP002	PF01612
AC187082.3_FGP002	PF10373
AC187088.3_FGP002	PF00625
AC187098.4_FGP011	PF00855
AC187157.4_FGP001	PF00847
AC187157.4_FGP002	PF05172
AC187157.4_FGP005	PF00046
AC187157.4_FGP005	PF08670
AC187157.4_FGP005	PF01852
AC187285.5_FGP004	PF00862
AC187551.3_FGP002	PF01535
AC187551.3_FGP002	PF13041
AC187560.5_FGP003	PF09425
AC187782.4_FGP008	PF04502
AC187782.4_FGP009	PF06376
AC187788.3_FGP008	PF03514
AC187792.3_FGP008	PF07714
AC187809.3_FGP005	PF02902
AC187820.2_FGP001	PF14111
AC187843.3_FGP010	PF02365
AC187875.3_FGP006	PF00483
AC187875.3_FGP009	PF00689
AC187891.3_FGP006	PF04844
AC187901.4_FGP002	PF08646
AC187919.5_FGP010	PF14570
AC188001.3_FGP009	PF02840
AC188023.3_FGP005	PF11341
AC188024.3_FGP003	PF07714
AC188195.2_FGP003	PF00280
AC188195.2_FGP004	PF00280
AC188195.2_FGP005	PF00280
AC188710.4_FGP006	PF04578
AC188710.4_FGP006	PF13968
AC188718.3_FGP005	PF03478
AC188718.3_FGP011	PF03478
AC188718.3_FGP015	PF03478
AC188752.3_FGP011	PF12624
AC188752.3_FGP011	PF16908
AC188759.3_FGP010	PF13041
AC188832.5_FGP005	PF01486
AC188838.3_FGP005	PF13537
AC189061.3_FGP004	PF00069
AC189280.3_FGP001	PF00439
AC189750.4_FGP004	PF00085
AC189750.4_FGP004	PF01507
AC189754.3_FGP004	PF01749
AC189795.3_FGP001	PF14303
AC189879.3_FGP003	PF16487
AC189879.3_FGP003	PF16488
AC189879.3_FGP003	PF08699
AC189879.3_FGP003	PF16486
AC189879.3_FGP003	PF02170
AC189879.3_FGP003	PF02171
AC190480.1_FGP007	PF06813
AC190499.1_FGP003	PF03101
AC190499.1_FGP003	PF13365
AC190518.1_FGP002	PF03214
AC190560.2_FGP002	PF02152
AC190561.3_FGP002	PF07992
AC190582.4_FGP011	PF13855
AC190588.3_FGP003	PF12701
