peptideName	GO
AC148152.3_FGP005	GO:0055114
AC148152.3_FGP005	GO:0016491
AC148152.3_FGP008	GO:0005975
AC148152.3_FGP008	GO:0004553
AC149475.2_FGP003	GO:0019773
AC149475.2_FGP003	GO:0006511
AC149475.2_FGP003	GO:0004175
AC149475.2_FGP003	GO:0051603
AC149475.2_FGP003	GO:0005839
AC149475.2_FGP003	GO:0004298
AC149475.2_FGP004	GO:0006418
AC149475.2_FGP004	GO:0005524
AC149475.2_FGP004	GO:0004812
AC149475.2_FGP004	GO:0000166
AC149475.2_FGP007	GO:0008080
AC149810.2_FGP003	GO:0036459
AC149810.2_FGP003	GO:0016579
AC149810.2_FGP008	GO:0006468
AC149810.2_FGP008	GO:0004672
AC149818.2_FGP001	GO:0005525
AC149818.2_FGP004	GO:0016538
AC149818.2_FGP004	GO:0007049
AC149828.2_FGP002	GO:0019773
AC149828.2_FGP002	GO:0006511
AC149828.2_FGP002	GO:0004175
AC149828.2_FGP002	GO:0051603
AC149828.2_FGP002	GO:0005839
AC149828.2_FGP002	GO:0004298
AC149829.2_FGP003	GO:0006810
AC149829.2_FGP003	GO:0005643
AC149829.2_FGP004	GO:0046983
AC149829.2_FGP006	GO:0005515
AC152495.1_FGP002	GO:0043531
AC152495.1_FGP003	GO:0043531
AC152495.1_FGP006	GO:0005524
AC152495.1_FGP010	GO:0043531
AC152495.1_FGP012	GO:0008080
AC152495.1_FGP015	GO:0043531
AC152495.1_FGP017	GO:0043531
AC155376.2_FGP005	GO:0005975
AC155376.2_FGP005	GO:0004553
AC155377.1_FGP001	GO:0016459
AC155377.1_FGP001	GO:0005524
AC155377.1_FGP001	GO:0003774
AC155377.1_FGP001	GO:0005515
AC155377.1_FGP002	GO:0006508
AC155377.1_FGP002	GO:0004190
AC155434.2_FGP003	GO:0006508
AC155434.2_FGP003	GO:0004190
AC155434.2_FGP006	GO:0006355
AC155434.2_FGP006	GO:0003677
AC155496.2_FGP009	GO:0031625
AC155496.2_FGP009	GO:0006511
AC155610.2_FGP007	GO:0016747
AC155622.2_FGP001	GO:0030126
AC155622.2_FGP001	GO:0016192
AC155622.2_FGP001	GO:0006886
AC155622.2_FGP001	GO:0005515
AC155622.2_FGP001	GO:0005198
AC155622.2_FGP004	GO:0005515
AC155624.2_FGP006	GO:0006470
AC155624.2_FGP006	GO:0004722
AC159612.1_FGP007	GO:0005975
AC159612.1_FGP007	GO:0004553
AC165171.2_FGP002	GO:0043565
AC165171.2_FGP002	GO:0006355
AC165171.2_FGP002	GO:0003700
AC166636.1_FGP007	GO:0005515
AC166636.1_FGP008	GO:0005525
AC166636.1_FGP009	GO:0003723
AC177889.2_FGP006	GO:0016021
AC177889.2_FGP006	GO:0005783
AC177893.3_FGP003	GO:0016788
AC177893.3_FGP005	GO:0071805
AC177893.3_FGP005	GO:0016020
AC177893.3_FGP005	GO:0015079
AC177897.2_FGP021	GO:0005524
AC177897.2_FGP022	GO:0055114
AC177897.2_FGP022	GO:0016491
AC177897.2_FGP022	GO:0005507
AC177899.2_FGP012	GO:0008234
AC177899.2_FGP012	GO:0006508
AC177908.3_FGP002	GO:0016757
AC177908.3_FGP002	GO:0047262
AC177924.2_FGP001	GO:0046983
AC177933.2_FGP005	GO:0016021
AC177933.2_FGP005	GO:0006952
AC177936.6_FGP008	GO:0031625
AC177936.6_FGP008	GO:0006511
AC182439.4_FGP004	GO:0016021
AC182482.3_FGP003	GO:0055085
AC182482.3_FGP003	GO:0016021
AC182482.3_FGP003	GO:0008324
AC182482.3_FGP003	GO:0006812
AC182617.3_FGP001	GO:0009089
AC182617.3_FGP001	GO:0008837
AC183315.4_FGP006	GO:0005515
AC183590.4_FGP001	GO:0042398
AC183590.4_FGP001	GO:0004357
AC183928.4_FGP006	GO:0006508
AC183928.4_FGP006	GO:0004190
AC183938.4_FGP004	GO:0006351
AC183938.4_FGP004	GO:0003899
AC183938.4_FGP004	GO:0003677
AC183938.4_FGP011	GO:0008270
AC184131.5_FGP010	GO:0030244
AC184131.5_FGP010	GO:0016760
AC184131.5_FGP010	GO:0016020
AC184164.2_FGP006	GO:0008408
AC184164.2_FGP006	GO:0006139
AC184164.2_FGP006	GO:0003676
AC184699.3_FGP005	GO:0016705
AC184699.3_FGP005	GO:0016117
AC184794.2_FGP003	GO:0016020
AC184794.2_FGP003	GO:0006810
AC184794.2_FGP003	GO:0005215
AC184831.3_FGP003	GO:0016758
AC184831.3_FGP003	GO:0008152
AC184831.3_FGP005	GO:0043565
AC184831.3_FGP005	GO:0008270
AC184831.3_FGP005	GO:0006355
AC184831.3_FGP005	GO:0003700
AC184831.3_FGP008	GO:0043565
AC184831.3_FGP008	GO:0008270
AC184831.3_FGP008	GO:0006355
AC184831.3_FGP008	GO:0003700
AC184834.3_FGP007	GO:0006468
AC184834.3_FGP007	GO:0004672
AC184866.3_FGP007	GO:0003677
AC184871.2_FGP002	GO:0006260
AC184871.2_FGP002	GO:0005524
AC184871.2_FGP002	GO:0003677
AC185122.3_FGP008	GO:0015074
AC185126.3_FGP006	GO:0008270
AC185126.3_FGP006	GO:0005515
AC185130.2_FGP004	GO:0006508
AC185130.2_FGP004	GO:0004222
AC185226.4_FGP006	GO:0016787
AC185254.4_FGP002	GO:0016021
AC185254.4_FGP002	GO:0006810
AC185254.4_FGP002	GO:0005215
AC185276.2_FGP006	GO:0007076
AC185276.2_FGP006	GO:0000796
AC185415.3_FGP005	GO:0003676
AC185415.3_FGP005	GO:0008270
AC185434.4_FGP004	GO:0006355
AC185434.4_FGP004	GO:0005634
AC185434.4_FGP004	GO:0003700
AC185460.3_FGP004	GO:0008270
AC185460.3_FGP004	GO:0005515
AC185466.3_FGP001	GO:0006887
AC185466.3_FGP001	GO:0000145
AC185468.3_FGP003	GO:0006413
AC185468.3_FGP003	GO:0003743
AC185471.3_FGP005	GO:0007017
AC185471.3_FGP005	GO:0005875
AC185500.3_FGP004	GO:0004553
AC185501.3_FGP001	GO:0007018
AC185501.3_FGP001	GO:0005871
AC185501.3_FGP001	GO:0003777
AC185531.2_FGP001	GO:0005509
AC185603.4_FGP007	GO:0009058
AC185603.4_FGP007	GO:0004161
AC185612.3_FGP002	GO:0006308
AC185612.3_FGP002	GO:0004519
AC185612.3_FGP002	GO:0003676
AC185648.3_FGP001	GO:0007094
AC185667.3_FGP007	GO:0006508
AC185667.3_FGP007	GO:0004190
AC185668.3_FGP001	GO:0006402
AC185668.3_FGP001	GO:0004654
AC185668.3_FGP001	GO:0003723
AC186147.3_FGP008	GO:0016757
AC186147.3_FGP008	GO:0016021
AC186165.2_FGP002	GO:0016788
AC186166.3_FGP008	GO:0046872
AC186166.3_FGP008	GO:0030001
AC186223.3_FGP003	GO:0006529
AC186223.3_FGP003	GO:0004066
AC186302.3_FGP013	GO:0016758
AC186302.3_FGP013	GO:0008152
AC186333.2_FGP006	GO:0008270
AC186333.2_FGP006	GO:0006355
AC186333.2_FGP006	GO:0006352
AC186333.2_FGP006	GO:0006384
AC186333.2_FGP006	GO:0000126
AC186519.4_FGP002	GO:0009733
AC186529.4_FGP014	GO:0005506
AC186577.3_FGP006	GO:0004857
AC186579.3_FGP007	GO:0008270
AC186579.3_FGP007	GO:0005515
AC186585.4_FGP002	GO:0004045
AC186603.6_FGP003	GO:0055114
AC186603.6_FGP003	GO:0020037
AC186603.6_FGP003	GO:0016705
AC186603.6_FGP003	GO:0005506
AC186604.4_FGP003	GO:0050660
AC186604.4_FGP003	GO:0008033
AC186606.4_FGP003	GO:0043565
AC186606.4_FGP003	GO:0006355
AC186606.4_FGP003	GO:0003700
AC186802.4_FGP002	GO:0055114
AC186802.4_FGP002	GO:0020037
AC186802.4_FGP002	GO:0016705
AC186802.4_FGP002	GO:0005506
AC187072.4_FGP002	GO:0008408
AC187072.4_FGP002	GO:0006139
AC187072.4_FGP002	GO:0003676
AC187157.4_FGP001	GO:0006355
AC187157.4_FGP001	GO:0003700
AC187157.4_FGP005	GO:0003677
AC187157.4_FGP005	GO:0008289
AC187285.5_FGP004	GO:0016157
AC187285.5_FGP004	GO:0005985
AC187792.3_FGP008	GO:0006468
AC187792.3_FGP008	GO:0004672
AC187809.3_FGP005	GO:0008234
AC187809.3_FGP005	GO:0006508
AC187843.3_FGP010	GO:0006355
AC187843.3_FGP010	GO:0003677
AC187875.3_FGP006	GO:0016779
AC187875.3_FGP006	GO:0009058
AC187910.5_FGP006	GO:0051568
AC187910.5_FGP006	GO:0016575
AC187910.5_FGP006	GO:0005634
AC188001.3_FGP009	GO:0008380
AC188001.3_FGP009	GO:0005681
AC188005.3_FGP003	GO:0016020
AC188005.3_FGP003	GO:0006810
AC188005.3_FGP003	GO:0005215
AC188024.3_FGP003	GO:0006468
AC188024.3_FGP003	GO:0004672
AC188195.2_FGP003	GO:0009611
AC188195.2_FGP003	GO:0004867
AC188195.2_FGP004	GO:0009611
AC188195.2_FGP004	GO:0004867
AC188195.2_FGP005	GO:0009611
AC188195.2_FGP005	GO:0004867
AC188713.2_FGP005	GO:0045010
AC188713.2_FGP005	GO:0005884
AC188832.5_FGP005	GO:0006355
AC188832.5_FGP005	GO:0005634
AC188832.5_FGP005	GO:0003700
AC189061.3_FGP004	GO:0006468
AC189061.3_FGP004	GO:0005524
AC189061.3_FGP004	GO:0004672
AC189280.3_FGP001	GO:0005515
AC189750.4_FGP004	GO:0045454
AC189750.4_FGP004	GO:0008152
AC189750.4_FGP004	GO:0003824
AC189754.3_FGP004	GO:0008565
AC189754.3_FGP004	GO:0006606
AC189754.3_FGP004	GO:0005737
